,Rank,branch_ins
1523,1679,1094123
1524,1680,1104132
1525,1681,1144107
1526,1682,1114125
1527,1684,1024117
1528,1686,107410T
1529,1687,1124125
1530,1688,1174108
1531,1689,1194111
1532,1691,1164107
1533,1692,1074109
1534,1693,1134107
1535,1694,1084125
1537,1695,1164109
1538,1696,1104109
1539,1697,1094107
1540,1698,1124125
1541,1699,1134136
1542,1702,1044139
1543,1704,1104101
1544,1706,1114125
1545,1709,1234125
1546,1710,1164109
1547,1711,1214111
1548,1712,1044139
1549,1713,1044139
1550,1714,1094123
1551,1716,1044139
1552,1717,1164109
1553,1718,1134117
1554,1719,1064105
1555,1720,1015288
1556,1721,1044139
1557,1723,1134125
1558,1724,1064102
1559,1725,1044139
1560,1727,1094123
1561,1728,1104132
1562,1729,1014109
1563,1730,1204111
1564,1731,1024109
1565,1732,1074109
1566,1733,1164109
1567,1734,1024109
1568,1735,1044193
1569,1736,1044139
1570,1737,1074118
1571,1738,1194111
1572,1739,1164107
1573,1741,1164107
1574,1742,1134136
1575,1743,1064130
1576,1744,1144125
1577,1745,1154125
1578,1747,1154125
1579,1749,1134127
1580,1751,1104117
1581,1752,1014125
1582,1753,1064105
1583,1754,1064122
1584,1755,1104132
1585,1756,1105601
1586,1758,1134117
1587,1759,1044139
1588,1760,1134127
1589,1761,1164109
1590,1762,1194111
1591,1763,1164109
1592,1764,1134117
1593,1765,1134127
1594,1770,1084125
1595,1771,1094125
1596,1772,1064202
1597,1774,1164113
1598,1775,1114125
1599,1776,1204187
1601,1777,1065281
1602,1778,1154125
1603,1780,1134127
1604,1782,1164107
1605,1783,1164107
1606,1784,1094123
1607,1785,1064105
1608,1786,1174108
1609,1788,1024201
1610,1789,1054111
1611,1790,1164107
1612,1791,1154125
