,branch_ins,variance,College,Branch
24,1024101,814131.9397849463,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)"
35,1064208,826231.0092592592,IIT Kharagpur,"Mathematics and  Computing(4 Years, Bachelor of Science)"
89,1015216,850610.0,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
62,1024202,855609.5256410256,IIT Bombay,"Economics(4 Years, Bachelor of Science)"
65,1014110,869711.951058201,IIT Bhubaneswar,"Computer Science and  Engineering(4 Years, B. Tech)"
112,1034187,953899.7564102564,IIT Mandi,"Data Science and  Engineering (4 Years, B. Tech)"
100,1014114,957650.9904761905,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)"
60,1134111,970201.0025641026,IIT Roorkee,"Electrical Engineering (4 Years, B. Tech)"
54,1144110,975834.7880986937,IIT (ISM) Dhanbad,"Computer Science and  Engineering(4 Years, B. Tech)"
38,1044125,977905.5504978661,IIT Delhi,"Mechanical Engineering(4 Years, B. Tech)"
86,1194110,1015801.8095238097,IIT Goa,"Computer Science and  Engineering(4 Years, B. Tech)"
49,1135606,1096770.5588235294,IIT Roorkee,"Mathematics &  Computing(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
71,107410T,1101734.4107142857,IIT Hyderabad,"Electrical Engineering( IC Design and  Technology) (4 Years, B. Tech)"
69,1065222,1102229.1428571427,IIT Kharagpur,"Electrical Engineering with M. Tech. in anyofthelistedspecializations(5 Years, B. Tech - M. Tech Dual Deg.)"
44,1214110,1111696.260526316,IIT Tirupati,"Computer Science and  Engineering(4 Years, B. Tech)"
56,1025235,1114865.9444444445,IIT Bombay,"Mechanical Engineering and  M. Tech. in Computer Integrated Manufacturing (5 Years, B. Tech - M. Tech Dual Deg.)"
43,1024198,1164995.5065359478,IIT Bombay,"Energy Engineering (4 Years, B. Tech)"
58,1115216,1310712.982142857,IIT Gandhinagar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
70,1034110,1327726.4900284898,IIT Mandi,"Computer Science and  Engineering(4 Years, B. Tech)"
187,1074199,1354658.8,IIT Hyderabad,"Biotechnology and  Bioinformatics(4 Years, B. Tech)"
39,1154110,1355683.3377016129,IIT Ropar,"Computer Science and  Engineering(4 Years, B. Tech)"
66,1174116,1434631.6233333333,IIT Guwahati,"Electronics and  Electrical Engineering (4 Years, B. Tech)"
