,College,Branch,Category,Gender,Opening_Rank,Closing_Rank,branch_ins
119,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",SC,N,2170,2429,1014127
120,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",SC,F,3643,3643,1014127
121,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (4 Years, B. Tech)",ST,N,1269,1269,1014127
122,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,13731,14970,1015243
123,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,21645,21645,1015243
124,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,2248,2248,1015243
125,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,5277,5316,1015243
126,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,8961,8961,1015243
127,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,2538,2538,1015243
128,IIT Bhubaneswar,"Metallurgical and  Materials Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",ST,N,1357,1357,1015243
129,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",OPEN,N,577,2119,1024101
130,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",OPEN,F,2312,4081,1024101
131,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",OPEN (PwD),N,164,164,1024101
132,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",EWS,N,236,496,1024101
133,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",EWS,F,1220,1325,1024101
134,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",OBC-NCL,N,698,1211,1024101
135,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",OBC-NCL,F,2993,3680,1024101
136,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",SC,N,275,726,1024101
137,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",SC,F,470,1141,1024101
138,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",ST,N,317,396,1024101
139,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)",ST,F,231,231,1024101
140,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",OPEN,N,552,2158,1024206
141,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",OPEN,F,1248,3895,1024206
142,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",EWS,N,372,564,1024206
143,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",OBC-NCL,N,1372,2029,1024206
144,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",OBC-NCL,F,1924,1924,1024206
145,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",SC,N,548,742,1024206
146,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",SC,F,2391,2391,1024206
147,IIT Bombay,"BS in Mathematics(4 Years, Bachelor of Science)",ST,N,427,427,1024206
148,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN,N,1420,2081,1024107
149,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN,F,2571,4591,1024107
150,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN (PwD),N,94,137,1024107
151,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",EWS,N,337,461,1024107
152,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",EWS,F,934,1145,1024107
153,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OBC-NCL,N,683,1173,1024107
154,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OBC-NCL,F,2395,3576,1024107
155,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",SC,N,416,698,1024107
156,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",SC,F,885,1343,1024107
157,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",ST,N,270,404,1024107
158,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",ST,F,680,695,1024107
159,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",OPEN,N,4360,5500,1024201
160,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",OPEN,F,10036,11453,1024201
161,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",EWS,N,1103,1269,1024201
162,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",EWS,F,1968,1968,1024201
163,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",OBC-NCL,N,2261,3138,1024201
164,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",OBC-NCL,F,6306,6728,1024201
165,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",SC,N,1161,1788,1024201
166,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",SC,F,2399,2399,1024201
167,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",ST,N,969,1024,1024201
168,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)",ST,F,1278,1278,1024201
169,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN,N,1941,3471,1024109
170,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN,F,4728,7079,1024109
171,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN (PwD),N,141,156,1024109
172,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",EWS,N,457,693,1024109
173,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",EWS,F,1370,1628,1024109
174,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,N,1022,1633,1024109
175,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,F,2638,4889,1024109
176,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",SC,N,253,851,1024109
177,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",SC,F,1193,1817,1024109
178,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",ST,N,72,257,1024109
179,IIT Bombay,"Civil Engineering (4 Years, B. Tech)",ST,F,526,612,1024109
180,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OPEN,N,2,61,1024110
181,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OPEN,F,16,305,1024110
182,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OPEN (PwD),N,2,5,1024110
183,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",EWS,N,5,18,1024110
184,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",EWS,F,48,57,1024110
185,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",EWS (PwD),N,2,2,1024110
186,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OBC-NCL,N,9,51,1024110
187,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OBC-NCL,F,29,136,1024110
188,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OBC-NCL (PwD),N,1,2,1024110
189,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",OBC-NCL (PwD),F,45,45,1024110
190,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",SC,N,1,23,1024110
191,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",SC,F,63,107,1024110
192,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",SC (PwD),N,1,1,1024110
193,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",ST,N,1,9,1024110
194,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",ST,F,11,55,1024110
195,IIT Bombay,"Computer Science and  Engineering(4 Years, B. Tech)",ST (PwD),N,2,2,1024110
196,IIT Bombay,"Economics(4 Years, Bachelor of Science)",OPEN,N,1577,2107,1024202
197,IIT Bombay,"Economics(4 Years, Bachelor of Science)",OPEN,F,3238,4590,1024202
198,IIT Bombay,"Economics(4 Years, Bachelor of Science)",OPEN (PwD),N,61,61,1024202
199,IIT Bombay,"Economics(4 Years, Bachelor of Science)",EWS,N,377,437,1024202
200,IIT Bombay,"Economics(4 Years, Bachelor of Science)",EWS,F,674,674,1024202
201,IIT Bombay,"Economics(4 Years, Bachelor of Science)",OBC-NCL,N,738,1191,1024202
202,IIT Bombay,"Economics(4 Years, Bachelor of Science)",OBC-NCL,F,1693,1693,1024202
203,IIT Bombay,"Economics(4 Years, Bachelor of Science)",SC,N,559,882,1024202
204,IIT Bombay,"Economics(4 Years, Bachelor of Science)",SC,F,1215,1215,1024202
205,IIT Bombay,"Economics(4 Years, Bachelor of Science)",ST,N,274,436,1024202
206,IIT Bombay,"Economics(4 Years, Bachelor of Science)",ST,F,1102,1102,1024202
207,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN,N,103,369,1024111
208,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN,F,1065,1341,1024111
209,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN (PwD),N,38,38,1024111
210,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN (PwD),F,158,158,1024111
211,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",EWS,N,64,114,1024111
212,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",EWS,F,155,203,1024111
213,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL,N,99,304,1024111
214,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL,F,247,650,1024111
215,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OBC-NCL (PwD),N,28,28,1024111
216,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",SC,N,35,135,1024111
217,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",SC,F,61,534,1024111
218,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",ST,N,28,102,1024111
219,IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",ST,F,208,208,1024111
220,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,N,374,866,1025217
221,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN,F,1379,1901,1025217
222,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OPEN (PwD),N,114,114,1025217
223,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,N,117,228,1025217
224,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",EWS,F,273,445,1025217
225,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,N,351,542,1025217
226,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL,F,843,1315,1025217
227,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",OBC-NCL (PwD),N,58,58,1025217
228,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,N,138,303,1025217
229,IIT Bombay,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)",SC,F,543,832,1025217
